codigo_produto,categoria,custo_unitario,preco_venda,unidades_vendidas_90d,estoque_atual
PROD-037,Vestuário,176.97,382.78,239,234.0
PROD-038,Eletrônicos,171.79,350.21,160,252.0
PROD-039,Alimentos e Bebidas,278.92,536.58,173,43.0
PROD-040,Vestuário,133.93,178.33,109,139.0
PROD-041,Alimentos & Bebidas,192.16,367.51,125,246.0
PROD-042,Alimentos & Bebidas,118.38,219.85,64,103.0
PROD-043,Alimentos & Bebidas,196.95,284.27,74,25.0
PROD-044,Beleza e Perfumaria,7.97,15.3,232,293.0
PROD-045,Vestuário,219.37,384.36,262,244.0
PROD-046,Alimentos e Bebidas,235.62,459.58,93,3.0
PROD-047,Vestuário,263.82,443.28,16,4.0
PROD-048,Alimentos e Bebidas,152.45,302.55,180,59.0
PROD-049,Alimentos e Bebidas,89.42,162.69,148,79.0
PROD-050,Vestuário,220.49,474.91,49,241.0
PROD-051,Beleza e Perfumaria,284.96,491.99,-15,95.0
PROD-052,Utilidades Domésticas,232.11,335.26,92,259.0
PROD-053,Beleza e Perfumaria,273.8,560.8,30,66.0
PROD-054,Utilidades Domésticas,40.2,80.02,23,136.0
PROD-055,Alimentos e Bebidas,277.66,438.91,16,12.0
PROD-056,Beleza e Perfumaria,214.68,286.35,296,264.0
PROD-057,Eletrônicos,247.57,468.63,193,212.0
PROD-058,Vestuário,129.16,201.92,454,47.0
PROD-059,Eletrônicos,173.14,299.16,34,117.0
PROD-060,Vestuário,185.93,254.71,153,173.0
PROD-061,Vestuário,158.04,240.69,165,138.0
PROD-062,Vestuário,33.49,52.35,88,106.0
PROD-063,Utilidades Domésticas,73.44,102.16,21,278.0
PROD-064,Vestuário,46.17,71.86,378,236.0
PROD-065,Vestuário,249.29,381.84,75,60.0
PROD-066,Alimentos e Bebidas,114.91,181.71,5,132.0
PROD-067,Eletrônicos,89.96,196.45,27,1.0
PROD-068,Utilidades Domésticas,69.41,130.16,149,240.0
PROD-069,Eletrônicos,212.15,405.78,377,119.0
PROD-070,Beleza e Perfumaria,158.42,272.11,205,113.0
PROD-071,Utilidades Domésticas,179.66,349.72,34,285.0
PROD-072,Vestuário,228.12,501.7,79,203.0
PROD-073,Eletrônicos,291.1,590.32,20,215.0
PROD-074,Utilidades Domésticas,223.65,402.43,123,86.0
PROD-075,Utilidades Domésticas,291.48,487.62,9,191.0
PROD-076,Utilidades Domésticas,210.81,387.49,37,218.0
PROD-077,Utilidades Domésticas,204.78,329.07,108,270.0
PROD-078,Eletrônicos,47.55,83.72,66,84.0
PROD-079,Vestuário,32.43,45.72,234,278.0
PROD-080,Eletrônicos,12.06,21.37,56,102.0
PROD-081,Utilidades Domésticas,209.65,450.93,255,-5.0
PROD-082,Alimentos e Bebidas,196.47,419.05,266,252.0
PROD-083,Vestuário,191.24,265.66,137,298.0
PROD-084,Eletrônicos,189.4,347.19,52,137.0
PROD-085,Vestuário,208.07,443.88,341,174.0
PROD-086,Vestuário,251.48,405.56,30,47.0
PROD-087,Utilidades Domésticas,219.2,370.47,90,287.0
PROD-088,Alimentos e Bebidas,181.79,329.24,14,162.0
PROD-089,Utilidades Domésticas,69.29,135.71,124,28.0
PROD-090,Alimentos e Bebidas,231.34,467.9,124,33.0
PROD-091,Eletrônicos,78.64,108.85,275,233.0
PROD-092,Utilidades Domésticas,205.69,383.75,21,281.0
PROD-093,Utilidades Domésticas,44.74,74.97,20,253.0
PROD-094,Alimentos e Bebidas,155.46,331.68,519,102.0
PROD-095,Utilidades Domésticas,191.71,279.34,118,33.0
PROD-096,Alimentos e Bebidas,245.48,525.0,32,245.0
PROD-097,Alimentos e Bebidas,212.25,372.47,157,257.0
PROD-098,Vestuário,242.9,335.57,184,226.0
PROD-099,Eletrônicos,257.29,526.68,7,171.0
PROD-100,Eletrônicos,263.62,489.16,119,173.0
PROD-101,Eletrônicos,264.91,99999.00,128,1.0
PROD-102,Alimentos e Bebidas,82.73,131.6,163,1.0
PROD-103,Vestuário,243.33,474.21,47,246.0
PROD-104,Alimentos e Bebidas,9.99,13.02,354,156.0
PROD-105,Beleza e Perfumaria,281.13,616.63,46,171.0
PROD-106,Vestuário,59.93,128.49,236,34.0
PROD-107,Vestuário,265.63,470.16,74,259.0
PROD-108,Utilidades Domésticas,242.27,323.84,19,130.0
PROD-109,Vestuário,119.91,243.03,180,78.0
PROD-110,Eletrônicos,289.2,570.03,43,108.0
PROD-111,Vestuário,32.75,64.05,108,225.0
PROD-112,Vestuário,90.84,121.56,45,37.0
PROD-113,Beleza e Perfumaria,79.7,108.92,103,211.0
PROD-114,Utilidades Domésticas,7.42,15.11,143,98.0
PROD-115,Alimentos e Bebidas,53.56,112.92,166,102.0
PROD-116,Utilidades Domésticas,239.24,479.88,166,63.0
PROD-117,Utilidades Domésticas,250.38,408.62,49,223.0
PROD-118,Vestuário,224.79,314.63,31,77.0
PROD-119,Utilidades Domésticas,166.52,305.65,206,200.0
PROD-120,Alimentos e Bebidas,191.53,408.68,152,184.0
PROD-121,Utilidades Domésticas,176.56,247.67,258,283.0
PROD-122,Utilidades Domésticas,79.43,103.5,275,222.0
PROD-123,Vestuário,118.47,160.36,41,257.0
PROD-124,Eletrônicos,246.42,455.12,201,125.0
PROD-125,Vestuário,32.66,50.74,256,178.0
PROD-126,Vestuário,16.42,21.6,61,151.0
PROD-127,Utilidades Domésticas,207.98,294.66,135,24.0
PROD-128,Utilidades Domésticas,252.33,375.32,88,84.0
PROD-129,Eletrônicos,187.1,262.39,131,18.0
PROD-130,Alimentos e Bebidas,229.89,299.05,79,234.0
PROD-131,Vestuário,293.31,512.59,113,271.0
PROD-132,Vestuário,191.13,267.29,230,101.0
PROD-133,Eletrônicos,136.02,267.12,164,144.0
PROD-134,Vestuário,297.99,481.4,92,257.0
PROD-135,Beleza e Perfumaria,190.44,417.01,166,14.0
PROD-136,Vestuário,57.36,93.36,156,261.0
PROD-137,Alimentos e Bebidas,207.12,270.09,23,129.0
PROD-138,Utilidades Domésticas,224.22,352.67,206,71.0
PROD-139,Vestuário,8.33,18.26,395,147.0
PROD-140,Beleza e Perfumaria,132.73,264.62,153,188.0
PROD-141,Beleza e Perfumaria,284.16,612.15,674,110.0
PROD-142,Vestuário,245.79,380.25,48,117.0
PROD-143,Alimentos e Bebidas,65.4,124.34,163,136.0
PROD-144,Vestuário,94.87,179.45,177,194.0
PROD-145,Vestuário,199.75,424.31,194,217.0
PROD-146,Eletrônicos,274.23,380.33,42,246.0
PROD-147,Alimentos e Bebidas,264.06,428.66,498,224.0
PROD-148,Alimentos e Bebidas,76.62,137.55,30,66.0
PROD-149,Eletrônicos,206.04,355.69,59,178.0
PROD-150,Vestuário,171.43,243.44,8,79.0
PROD-151,Beleza e Perfumaria,115.86,219.56,15,134.0
PROD-152,Vestuário,93.81,170.07,175,193.0
PROD-153,Eletrônicos,152.0,265.88,112,177.0
PROD-154,Alimentos e Bebidas,172.7,333.1,71,128.0
PROD-155,Beleza e Perfumaria,270.35,520.69,55,47.0
PROD-156,Vestuário,226.0,414.3,89,94.0
PROD-157,Alimentos e Bebidas,22.75,42.69,1019,40.0
PROD-158,Utilidades Domésticas,57.18,85.72,201,115.0
PROD-159,Vestuário,75.13,157.37,282,245.0
PROD-160,Utilidades Domésticas,65.78,113.26,784,96.0
PROD-161,Vestuário,92.35,166.07,82,82.0
PROD-162,Alimentos e Bebidas,124.89,179.35,110,156.0
PROD-163,Alimentos e Bebidas,9.99,20.89,57,248.0
PROD-164,Alimentos e Bebidas,25.12,44.24,61,265.0
PROD-165,Eletrônicos,200.39,391.73,53,88.0
PROD-166,Utilidades Domésticas,182.21,271.55,77,140.0
PROD-167,Vestuário,263.52,443.47,24,52.0
PROD-168,Vestuário,286.73,428.89,311,186.0
PROD-169,Eletrônicos,220.85,407.56,76,230.0
PROD-170,Alimentos e Bebidas,121.43,254.53,118,161.0
PROD-171,Alimentos e Bebidas,224.46,441.02,34,251.0
PROD-172,Eletrônicos,175.72,362.86,16,272.0
PROD-173,Alimentos e Bebidas,283.2,568.87,46,282.0
PROD-174,Vestuário,271.82,365.9,275,110.0
PROD-175,Alimentos e Bebidas,252.87,492.77,12,9.0
PROD-176,Vestuário,196.86,399.6,43,101.0
PROD-177,Alimentos e Bebidas,55.44,116.17,114,6.0
PROD-178,Vestuário,232.05,507.7,50,163.0
PROD-179,Beleza e Perfumaria,264.26,470.65,132,4.0
PROD-180,Eletrônicos,226.52,313.19,49,244.0
PROD-181,Vestuário,177.76,310.69,104,88.0
PROD-182,Eletrônicos,224.59,389.23,59,218.0
PROD-183,Beleza e Perfumaria,113.01,200.77,189,186.0
PROD-184,Utilidades Domésticas,46.36,78.35,19,166.0
PROD-185,Vestuário,104.72,177.11,70,10.0
PROD-186,Alimentos e Bebidas,258.82,549.45,24,114.0
PROD-187,Utilidades Domésticas,269.32,564.43,120,294.0
PROD-188,Alimentos e Bebidas,64.17,100.12,696,188.0
PROD-189,Alimentos e Bebidas,30.81,43.32,308,261.0
PROD-190,Vestuário,33.9,60.01,15,233.0
PROD-191,Eletrônicos,165.99,236.99,78,226.0
PROD-192,Utilidades Domésticas,83.78,133.04,18,91.0
PROD-193,Beleza e Perfumaria,131.17,189.23,26,26.0
PROD-194,Alimentos e Bebidas,165.92,359.74,38,24.0
PROD-195,Vestuário,21.85,43.8,274,221.0
PROD-196,Vestuário,237.83,513.34,18,77.0
PROD-197,Utilidades Domésticas,57.92,111.06,57,147.0
PROD-198,Utilidades Domésticas,138.16,268.6,158,260.0
PROD-199,Utilidades Domésticas,262.03,466.78,46,159.0
PROD-200,Utilidades Domésticas,247.55,500.47,198,263.0
PROD-201,Alimentos e Bebidas,267.14,488.37,96,174.0
PROD-202,Eletrônicos,214.93,437.7,67,174.0
PROD-203,Vestuário,74.4,104.42,673,60.0
PROD-204,Utilidades Domésticas,122.06,166.65,98,294.0
PROD-205,Alimentos e Bebidas,34.8,50.03,328,4.0
PROD-206,Eletrônicos,114.96,213.01,77,255.0
PROD-207,Eletrônicos,6.45,13.29,7,171.0
PROD-208,Alimentos e Bebidas,165.04,249.67,88,249.0
PROD-209,Eletrônicos,20.27,36.44,75,10.0
PROD-210,Vestuário,37.54,64.61,229,121.0
PROD-211,Alimentos e Bebidas,176.82,240.19,213,33.0
PROD-212,Alimentos e Bebidas,24.43,43.35,175,104.0
PROD-213,Alimentos e Bebidas,208.68,330.76,30,122.0
PROD-214,Vestuário,203.86,388.48,69,265.0
PROD-215,Utilidades Domésticas,274.96,390.37,458,254.0
PROD-216,Vestuário,143.23,276.19,407,193.0
PROD-217,Vestuário,297.94,570.68,20,5.0
PROD-218,Utilidades Domésticas,276.95,370.42,24,170.0
PROD-219,Alimentos e Bebidas,132.39,271.48,52,104.0
PROD-220,Utilidades Domésticas,98.08,177.71,715,60.0
PROD-221,Alimentos e Bebidas,149.16,258.42,55,99.0
PROD-222,Alimentos e Bebidas,144.1,191.27,10,285.0
PROD-223,Eletrônicos,52.34,79.01,250,208.0
PROD-224,Vestuário,241.58,522.89,83,254.0
PROD-225,Vestuário,33.47,64.16,529,266.0
PROD-226,Vestuário,39.25,60.45,80,146.0
PROD-227,Beleza e Perfumaria,175.63,345.38,906,224.0
PROD-228,Vestuário,72.74,121.73,147,3.0
PROD-229,Utilidades Domésticas,265.97,468.05,27,144.0
PROD-230,Alimentos e Bebidas,299.45,430.98,228,200.0
PROD-231,Utilidades Domésticas,50.7,106.61,78,269.0
PROD-232,Alimentos e Bebidas,281.93,521.05,786,285.0
PROD-233,Alimentos e Bebidas,237.53,329.28,16,281.0
PROD-234,Alimentos e Bebidas,116.7,198.1,13,185.0
PROD-235,Vestuário,162.29,255.74,49,129.0
PROD-236,Utilidades Domésticas,120.5,251.45,59,244.0
PROD-237,Vestuário,156.64,250.69,25,39.0
PROD-238,Eletrônicos,156.81,277.83,253,198.0
PROD-239,Alimentos e Bebidas,228.93,490.02,43,5.0
PROD-240,Vestuário,200.63,280.6,183,113.0
PROD-241,Beleza e Perfumaria,27.89,43.41,400,5.0
PROD-242,Beleza e Perfumaria,92.96,147.13,9,54.0
PROD-243,Beleza e Perfumaria,29.73,52.79,57,32.0
PROD-244,Vestuário,131.03,252.69,85,205.0
PROD-245,Eletrônicos,147.56,259.24,5,75.0
PROD-246,Beleza e Perfumaria,110.03,166.23,457,221.0
PROD-247,Vestuário,57.76,101.45,157,150.0
PROD-248,Beleza e Perfumaria,113.73,170.0,63,139.0
PROD-249,Beleza e Perfumaria,208.61,321.12,271,219.0
PROD-250,Utilidades Domésticas,41.11,62.29,131,9.0
PROD-251,Vestuário,159.81,323.29,274,283.0
PROD-252,Vestuário,210.93,283.28,183,85.0
PROD-253,Utilidades Domésticas,65.81,143.98,48,80.0
PROD-254,Vestuário,276.83,542.37,148,198.0
PROD-255,Vestuário,45.01,75.57,825,59.0
PROD-256,Alimentos e Bebidas,51.6,71.55,30,257.0
PROD-257,Beleza e Perfumaria,41.8,59.05,161,246.0
PROD-258,Alimentos e Bebidas,240.8,526.28,158,49.0
PROD-259,Alimentos e Bebidas,33.35,69.1,69,288.0
PROD-260,Eletrônicos,154.19,314.12,170,243.0
PROD-261,Alimentos e Bebidas,266.86,449.31,109,194.0
PROD-262,Beleza e Perfumaria,172.83,305.7,255,273.0
PROD-263,Eletrônicos,112.04,172.94,49,7.0
PROD-264,Alimentos e Bebidas,138.79,267.06,86,44.0
PROD-265,Utilidades Domésticas,12.69,20.63,16,266.0
PROD-266,Utilidades Domésticas,152.84,290.82,115,196.0
PROD-267,Alimentos e Bebidas,270.67,355.05,79,226.0
PROD-268,Utilidades Domésticas,262.96,503.9,273,142.0
PROD-269,Vestuário,25.56,56.0,100,287.0
PROD-270,Vestuário,149.72,300.94,90,132.0
PROD-271,Utilidades Domésticas,34.34,60.85,181,2.0
PROD-272,Utilidades Domésticas,178.28,351.99,35,72.0
PROD-273,Utilidades Domésticas,139.59,291.5,23,58.0
PROD-274,Beleza e Perfumaria,204.03,375.61,159,256.0
PROD-275,Alimentos e Bebidas,154.29,203.23,63,80.0
PROD-276,Alimentos e Bebidas,134.44,295.21,57,216.0
PROD-277,Utilidades Domésticas,109.81,195.11,32,60.0
PROD-278,Alimentos e Bebidas,24.38,47.53,120,127.0
PROD-279,Utilidades Domésticas,208.31,363.15,479,239.0
PROD-280,Utilidades Domésticas,56.6,83.98,42,104.0
PROD-281,Utilidades Domésticas,246.18,404.56,90,24.0
PROD-282,Vestuário,100.33,218.89,305,13.0
PROD-283,Vestuário,206.52,317.97,97,110.0
PROD-284,Eletrônicos,294.23,445.28,202,289.0
PROD-285,Alimentos e Bebidas,137.9,183.55,114,181.0
PROD-286,Eletrônicos,232.56,511.19,21,273.0
PROD-287,Alimentos e Bebidas,238.64,405.48,260,138.0
PROD-288,Alimentos e Bebidas,14.91,20.72,135,243.0
PROD-289,Vestuário,163.73,263.7,267,200.0
PROD-290,Alimentos e Bebidas,100.66,137.55,27,199.0
PROD-291,Eletrônicos,136.86,217.41,71,293.0
PROD-292,Eletrônicos,93.58,170.11,44,224.0
PROD-293,Utilidades Domésticas,164.68,310.16,270,266.0
PROD-294,Vestuário,271.21,538.39,20,58.0
PROD-295,Eletrônicos,20.01,34.82,34,273.0
PROD-296,Alimentos e Bebidas,68.37,139.92,343,144.0
PROD-297,Utilidades Domésticas,268.51,468.7,87,281.0
PROD-298,Vestuário,26.45,43.89,170,2.0
PROD-299,Alimentos e Bebidas,113.73,192.91,148,203.0
PROD-300,Eletrônicos,79.19,112.74,124,272.0
PROD-301,Eletrônicos,56.56,101.87,56,233.0
PROD-302,Alimentos e Bebidas,85.39,171.86,253,142.0
PROD-303,Alimentos e Bebidas,176.54,238.76,43,269.0
PROD-304,Alimentos e Bebidas,290.58,461.2,9,154.0
PROD-305,Utilidades Domésticas,127.21,269.69,31,32.0
PROD-306,Beleza e Perfumaria,136.69,209.99,231,173.0
PROD-307,Alimentos e Bebidas,122.78,205.93,65,111.0
PROD-308,Vestuário,286.85,395.43,60,112.0
PROD-309,Utilidades Domésticas,43.67,84.14,171,154.0
PROD-310,Vestuário,95.09,143.3,120,139.0
PROD-311,Vestuário,13.88,24.16,159,298.0
PROD-312,Eletrônicos,106.52,156.0,125,165.0
PROD-313,Eletrônicos,86.9,166.45,69,104.0
PROD-314,Beleza e Perfumaria,76.66,157.91,58,289.0
PROD-315,Utilidades Domésticas,70.72,94.07,92,95.0
PROD-316,Alimentos e Bebidas,103.36,224.67,324,39.0
PROD-317,Vestuário,79.38,134.46,79,130.0
PROD-318,Vestuário,23.38,50.26,205,284.0
PROD-319,Vestuário,82.8,169.81,224,4.0
PROD-320,Vestuário,293.26,518.83,15,297.0
PROD-321,Alimentos e Bebidas,283.67,380.14,243,182.0
PROD-322,Utilidades Domésticas,215.79,433.14,211,65.0
PROD-323,Alimentos e Bebidas,61.56,93.19,33,277.0
PROD-324,Vestuário,174.69,239.33,61,208.0
PROD-325,Beleza e Perfumaria,252.87,360.47,58,275.0
PROD-326,Utilidades Domésticas,37.65,81.67,261,138.0
PROD-327,Alimentos e Bebidas,161.54,316.11,212,22.0
PROD-328,Alimentos e Bebidas,95.55,198.87,31,276.0
PROD-329,Vestuário,123.22,260.78,71,82.0
PROD-330,Vestuário,164.95,247.27,55,3.0
PROD-331,Vestuário,146.4,305.7,228,57.0
PROD-332,Utilidades Domésticas,276.11,484.52,356,98.0
PROD-333,Eletrônicos,162.29,283.88,163,115.0
PROD-334,Eletrônicos,205.83,345.97,81,42.0
PROD-335,Eletrônicos,169.28,299.02,252,287.0
PROD-336,Eletrônicos,124.26,195.65,44,142.0
PROD-337,Utilidades Domésticas,65.76,131.22,125,115.0
PROD-338,Utilidades Domésticas,28.92,54.19,337,45.0
PROD-339,Alimentos e Bebidas,204.84,309.06,43,225.0
PROD-340,Eletrônicos,34.93,53.78,53,138.0
PROD-341,Alimentos e Bebidas,29.59,63.95,256,60.0
PROD-342,Alimentos e Bebidas,275.07,380.45,500,14.0
PROD-343,Vestuário,291.23,566.87,9,85.0
PROD-344,Vestuário,182.39,282.5,16,252.0
PROD-345,Vestuário,14.4,22.2,85,266.0
PROD-346,Alimentos e Bebidas,229.98,356.62,70,210.0
PROD-347,Alimentos e Bebidas,156.74,255.66,138,19.0
PROD-348,Eletrônicos,233.69,491.87,157,166.0
PROD-349,Vestuário,127.06,187.56,9,133.0
PROD-350,Alimentos e Bebidas,224.74,466.81,133,260.0
PROD-351,Alimentos e Bebidas,239.62,474.39,342,47.0
PROD-352,Utilidades Domésticas,166.21,236.19,43,93.0
PROD-353,Alimentos e Bebidas,290.81,572.16,65,126.0
PROD-354,Vestuário,95.61,174.24,311,291.0
PROD-355,Eletrônicos,284.09,504.86,275,48.0
PROD-356,Alimentos e Bebidas,18.04,28.23,171,103.0
PROD-357,Eletrônicos,242.57,479.81,69,189.0
PROD-358,Alimentos e Bebidas,170.28,261.68,129,251.0
PROD-359,Beleza e Perfumaria,106.32,152.16,529,157.0
PROD-360,Alimentos e Bebidas,27.46,51.69,65,135.0
PROD-361,Vestuário,208.51,406.04,102,175.0
PROD-362,Alimentos e Bebidas,204.3,423.49,71,279.0
PROD-363,Alimentos e Bebidas,219.13,288.76,57,133.0
PROD-364,Alimentos e Bebidas,224.07,487.14,9,262.0
PROD-365,Beleza e Perfumaria,40.05,64.21,18,78.0
PROD-366,Vestuário,258.36,432.59,27,162.0
PROD-367,Beleza e Perfumaria,48.35,81.67,55,220.0
PROD-368,Beleza e Perfumaria,171.95,259.79,51,154.0
PROD-369,Vestuário,240.08,451.53,265,1.0
PROD-370,Eletrônicos,299.97,535.54,51,60.0
PROD-371,Eletrônicos,62.01,133.3,291,239.0
PROD-372,Eletrônicos,90.5,136.06,78,82.0
PROD-373,Eletrônicos,92.32,188.34,26,270.0
PROD-374,Alimentos e Bebidas,214.77,322.56,135,83.0
PROD-375,Eletrônicos,155.37,327.04,117,183.0
PROD-376,Vestuário,121.74,252.41,24,213.0
PROD-377,Utilidades Domésticas,284.24,390.16,42,201.0
PROD-378,Eletrônicos,174.59,287.43,14,213.0
PROD-379,Utilidades Domésticas,251.52,514.47,127,167.0
PROD-380,Vestuário,289.72,617.91,618,75.0
PROD-381,Eletrônicos,153.82,315.58,119,1.0
PROD-382,Alimentos e Bebidas,271.22,573.67,198,76.0
PROD-383,Alimentos e Bebidas,240.66,441.64,309,203.0
PROD-384,Utilidades Domésticas,299.22,424.11,38,37.0
PROD-385,Utilidades Domésticas,137.85,238.97,444,279.0
PROD-386,Utilidades Domésticas,11.36,19.96,41,128.0
PROD-387,Vestuário,37.22,54.96,202,116.0
PROD-388,Vestuário,226.44,416.6,137,106.0
PROD-389,Utilidades Domésticas,244.92,490.74,80,36.0
PROD-390,Utilidades Domésticas,111.26,194.8,147,129.0
PROD-391,Beleza e Perfumaria,39.05,71.99,45,58.0
PROD-392,Vestuário,214.18,416.95,148,235.0
PROD-393,Vestuário,192.29,318.12,336,78.0
PROD-394,Utilidades Domésticas,21.24,34.89,96,251.0
PROD-395,Vestuário,166.46,313.79,798,295.0
PROD-396,Beleza e Perfumaria,78.03,124.91,75,173.0
PROD-397,Utilidades Domésticas,39.2,58.07,12,186.0
PROD-398,Vestuário,58.54,99.54,53,243.0
PROD-399,Utilidades Domésticas,66.88,140.4,243,275.0
PROD-400,Utilidades Domésticas,52.25,102.3,131,252.0
PROD-401,Eletrônicos,58.71,122.66,127,26.0
PROD-402,Beleza e Perfumaria,163.81,345.27,11,6.0
PROD-403,Alimentos e Bebidas,18.27,35.68,29,244.0
PROD-404,Utilidades Domésticas,92.92,194.93,172,283.0
PROD-405,Vestuário,37.1,72.45,158,1.0
PROD-406,Utilidades Domésticas,188.41,387.42,297,225.0
PROD-407,Vestuário,284.65,501.61,29,41.0
PROD-408,Eletrônicos,18.11,36.15,22,103.0
PROD-409,Beleza e Perfumaria,269.23,395.42,84,165.0
PROD-410,Eletrônicos,230.71,499.07,391,197.0
PROD-411,Vestuário,165.63,282.07,206,216.0
PROD-412,Beleza e Perfumaria,285.04,582.13,129,55.0
PROD-413,Beleza e Perfumaria,70.1,141.78,6,141.0
PROD-414,Alimentos e Bebidas,18.02,26.17,426,134.0
PROD-415,Alimentos e Bebidas,236.2,314.53,190,290.0
PROD-416,Vestuário,41.31,67.73,548,46.0
PROD-417,Vestuário,250.68,403.6,41,226.0
PROD-418,Vestuário,275.78,423.42,882,49.0
PROD-419,Alimentos e Bebidas,78.33,159.64,193,185.0
PROD-420,Utilidades Domésticas,259.64,566.4,189,285.0
PROD-421,Utilidades Domésticas,162.38,233.2,17,130.0
PROD-422,Utilidades Domésticas,107.5,221.34,106,254.0
PROD-423,Eletrônicos,87.51,172.64,130,178.0
PROD-424,Alimentos e Bebidas,236.61,446.37,832,11.0
PROD-425,Eletrônicos,200.46,424.17,22,57.0
PROD-426,Alimentos e Bebidas,253.81,400.45,95,9.0
PROD-427,Vestuário,185.96,353.94,47,83.0
PROD-428,Utilidades Domésticas,110.29,180.73,98,119.0
PROD-429,Vestuário,111.47,171.8,143,163.0
PROD-430,Eletrônicos,274.11,436.71,110,186.0
PROD-431,Eletrônicos,201.89,267.51,31,289.0
PROD-432,Utilidades Domésticas,253.54,477.94,230,76.0
PROD-433,Alimentos e Bebidas,229.72,341.79,151,154.0
PROD-434,Eletrônicos,65.03,100.3,79,216.0
PROD-435,Eletrônicos,139.07,251.51,25,39.0
PROD-436,Utilidades Domésticas,29.74,40.87,122,58.0
PROD-437,Eletrônicos,251.78,532.12,22,38.0
PROD-438,Utilidades Domésticas,170.02,311.88,75,63.0
PROD-439,Utilidades Domésticas,274.33,541.74,313,55.0
PROD-440,Eletrônicos,54.63,107.8,300,152.0
PROD-441,Eletrônicos,277.4,534.69,43,237.0
PROD-442,Beleza e Perfumaria,266.74,424.46,537,271.0
PROD-443,Vestuário,52.5,84.82,169,148.0
PROD-444,Vestuário,230.01,361.79,130,66.0
PROD-445,Utilidades Domésticas,143.83,230.58,16,286.0
PROD-446,Beleza e Perfumaria,82.89,113.08,66,266.0
PROD-447,Beleza e Perfumaria,276.81,544.86,24,257.0
PROD-448,Utilidades Domésticas,239.74,424.96,270,275.0
PROD-449,Vestuário,53.38,83.82,96,240.0
PROD-450,Eletrônicos,285.57,376.3,210,173.0
PROD-451,Utilidades Domésticas,160.76,279.62,37,256.0
PROD-452,Alimentos e Bebidas,166.67,341.28,37,147.0
PROD-453,Vestuário,202.55,343.69,15,96.0
PROD-454,Beleza e Perfumaria,129.04,201.86,129,58.0
PROD-455,Eletrônicos,114.03,193.63,396,106.0
PROD-456,Alimentos e Bebidas,229.05,310.49,185,159.0
PROD-457,Eletrônicos,149.76,305.36,415,58.0
PROD-458,Alimentos e Bebidas,175.56,266.14,24,76.0
PROD-459,Eletrônicos,110.25,168.63,173,176.0
PROD-460,Eletrônicos,179.76,342.8,106,219.0
PROD-461,Eletrônicos,199.7,404.22,53,73.0
PROD-462,Alimentos e Bebidas,78.55,134.36,63,75.0
PROD-463,Utilidades Domésticas,276.98,571.2,7,61.0
PROD-464,Alimentos e Bebidas,155.69,226.36,28,283.0
PROD-465,Beleza e Perfumaria,114.35,209.38,5,159.0
PROD-466,Vestuário,210.58,350.87,70,275.0
PROD-467,Vestuário,282.16,565.84,79,245.0
PROD-468,Utilidades Domésticas,165.7,260.51,270,24.0
PROD-469,Vestuário,102.7,194.3,110,149.0
PROD-470,Beleza e Perfumaria,200.75,432.14,76,69.0
PROD-471,Eletrônicos,276.88,461.13,171,216.0
PROD-472,Beleza e Perfumaria,58.24,91.36,175,81.0
